|242|(Located in Small Magellanic Cloud)|Open cluster|Tucana|10.906666666666668|-73.44388888888889|12.1
|244||Lenticular galaxy|Cetus|11.44375|-15.5975|13
|245||Spiral galaxy|Cetus|11.523333333333333|-1.7233333333333334|12.9
|246||Planetary nebula|Cetus|11.76375|-11.871944444444445|11.4
|247||Intermediate spiral galaxy|Cetus|11.785833333333333|-20.760555555555555|9.6
|252||Lenticular galaxy|Andromeda|12.00625|27.62472222222222|13.5
|253|Sculptor Galaxy|Intermediate spiral galaxy|Sculptor|11.887916666666666|-25.288333333333334|8.0
|254||Lenticular galaxy|Sculptor|11.864583333333332|-31.421944444444446|12.7
|255||Barred spiral galaxy|Cetus|11.946666666666665|-11.468055555555555|11
|256|(Located in Small Magellanic Cloud)|Open cluster|Tucana|11.47625|-73.50666666666666|12.8
|259||Spiral galaxy|Cetus|12.013750000000002|-2.776111111111111|12.5
|265|(Located in Small Magellanic Cloud)|Open cluster|Tucana|11.798333333333334|-73.47722222222222|12.5
|266||Barred spiral galaxy|Pisces|12.45|32.277499999999996|12.6
|268||Spiral galaxy|Cetus|12.539166666666667|-5.193611111111111|12.5
|269|(Located in Small Magellanic Cloud)|Open cluster|Tucana|12.088333333333335|-73.53027777777778|13.0
|270||Lenticular galaxy|Cetus|12.635000000000002|-8.651388888888889|13
|271||Barred spiral galaxy|Cetus|12.674583333333334|-1.9102777777777777|13.2
|273||Lenticular galaxy|Cetus|12.702083333333334|-6.885555555555555|13
|274||Lenticular galaxy|Cetus|12.757916666666667|-7.057222222222222|13
|275||Barred spiral galaxy|Cetus|12.768333333333333|-7.065555555555555|13
|277||Lenticular galaxy|Cetus|12.821666666666665|-8.596666666666668|13
|278||Spiral galaxy|Cassiopeia|13.018333333333334|47.55027777777777|10.5
|281||Diffuse nebula and star cluster|Cassiopeia|13.104583333333334|56.565|7.3
|288||Globular cluster|Sculptor|13.188749999999999|-26.578611111111112|10
|289||Spiral galaxy|Sculptor|13.17375|-31.20777777777778|11.6
|290|(Located in Small Magellanic Cloud)|Open cluster|Tucana|12.80875|-73.16166666666668|12.1
|292|Small Magellanic Cloud|Irregular galaxy|Tucana|13.158333333333333|-72.80027777777778|2.8
|294|(Located in Small Magellanic Cloud)|Open cluster|Tucana|13.273333333333333|-73.38027777777778|12.7
|295||Unknown|Pisces|13.782083333333333|31.542222222222225|13.5
|298||Spiral galaxy|Cetus|13.759583333333332|-7.3325|13.5
|299||Open cluster|Tucana|13.352916666666665|-72.19666666666667|12.1
|300||Spiral galaxy|Sculptor|13.722916666666666|-37.683055555555555|8.7
|306||Open cluster|Tucana|13.559583333333334|-72.24083333333333|12.2
|309||Spiral galaxy|Cetus|14.177916666666667|-9.91388888888889|12
|315||Elliptical galaxy|Pisces|14.45375|30.352500000000003|12.5
|324||Lenticular galaxy|Phoenix|14.31125|-40.95805555555556|13.5
|327||Spiral galaxy|Cetus|14.480416666666667|-5.1305555555555555|13
|329||Spiral galaxy|Cetus|14.50625|-5.0713888888888885|13
|330|(Located in Small Magellanic Cloud)|Globular cluster|Tucana|14.077916666666667|-72.46388888888889|9.8
|337||Barred spiral galaxy|Cetus|14.959166666666665|-7.575833333333333|11
|339|(Located in Small Magellanic Cloud)|Globular cluster|Tucana|14.45375|-74.46666666666667|12.0
|345||Spiral galaxy|Cetus|15.342083333333333|-6.884444444444444|13.5
|349||Lenticular galaxy|Cetus|15.461249999999998|-6.8|13.5
|352||Barred spiral galaxy|Cetus|15.537500000000001|-4.245555555555556|12.5
|356||Spiral galaxy|Cetus|15.779583333333335|-6.988611111111111|13.5
|357||Spiral galaxy|Cetus|15.841250000000002|-6.339444444444444|12
|361|(Located in Small Magellanic Cloud)|Open cluster|Tucana|15.553333333333335|-71.60444444444444|12.4
|362||Globular cluster|Tucana|15.809583333333334|-70.84833333333333|8.0
|365||Barred spiral galaxy|Sculptor|16.077916666666667|-35.12027777777778|12.5
|376|(Located in Small Magellanic Cloud)|Open cluster|Tucana|15.9725|-72.8261111111111|11.2
|381||Open cluster|Cassiopeia|17.082916666666666|61.58388888888889|9.3
|393||Lenticular galaxy|Andromeda|17.154583333333335|39.64388888888889|13.3
|403||Lenticular galaxy|Pisces|17.31|32.75222222222222|13.3
|404||Lenticular galaxy|Andromeda|17.3625|35.71805555555556|11.3
|406||Spiral galaxy|Tucana|16.850416666666664|-69.87638888888888|12.5
